split,text,label,char_count,word_count,line_count,uppercase_ratio,digit_ratio,punctuation_ratio,starts_with_marker
synthetic,* Check the test results,unordered_list,24,5,1,0.041666666666666664,0.0,0.041666666666666664,1
synthetic,* Review the pull request,unordered_list,25,5,1,0.04,0.0,0.04,1
synthetic,* Update documentation,unordered_list,22,3,1,0.045454545454545456,0.0,0.045454545454545456,1
synthetic,* Fix broken imports,unordered_list,20,4,1,0.05,0.0,0.05,1
synthetic,* Add error handling,unordered_list,20,4,1,0.05,0.0,0.05,1
synthetic,* Implement caching layer,unordered_list,25,4,1,0.04,0.0,0.04,1
synthetic,* Write unit tests,unordered_list,18,4,1,0.05555555555555555,0.0,0.05555555555555555,1
synthetic,* Deploy to staging,unordered_list,19,4,1,0.05263157894736842,0.0,0.05263157894736842,1
synthetic,* Monitor performance metrics,unordered_list,29,4,1,0.034482758620689655,0.0,0.034482758620689655,1
synthetic,# Clone the repository,ordered_list,22,4,1,0.045454545454545456,0.0,0.045454545454545456,1
synthetic,# Install required packages,ordered_list,27,4,1,0.037037037037037035,0.0,0.037037037037037035,1
synthetic,# Set up the database,ordered_list,21,5,1,0.047619047619047616,0.0,0.047619047619047616,1
synthetic,# Configure the application,ordered_list,27,4,1,0.037037037037037035,0.0,0.037037037037037035,1
synthetic,# Run the migration scripts,ordered_list,27,5,1,0.037037037037037035,0.0,0.037037037037037035,1
synthetic,# Start the development server,ordered_list,30,5,1,0.03333333333333333,0.0,0.03333333333333333,1
synthetic,# Run the test suite,ordered_list,20,5,1,0.05,0.0,0.05,1
synthetic,# Build for production,ordered_list,22,4,1,0.045454545454545456,0.0,0.045454545454545456,1
synthetic,# Deploy to the cloud,ordered_list,21,5,1,0.047619047619047616,0.0,0.047619047619047616,1
synthetic,# Verify the deployment,ordered_list,23,4,1,0.043478260869565216,0.0,0.043478260869565216,1
synthetic,# Monitor the logs,ordered_list,18,4,1,0.05555555555555555,0.0,0.05555555555555555,1
synthetic,# Update the changelog,ordered_list,22,4,1,0.045454545454545456,0.0,0.045454545454545456,1
